Date,Close
13 11 2018,963.875
14 11 2018,978.875
15 11 2018,987.5750122
16 11 2018,1002.150024
19 11 2018,1006.950012
20 11 2018,1006.224976
21 11 2018,1009.375
22 11 2018,1002.75
26 11 2018,1024.900024
27 11 2018,1032
28 11 2018,1044.625
29 11 2018,1065.525024
30 11 2018,1064.224976
03 12 2018,1056.650024
04 12 2018,1042.775024
05 12 2018,1049.599976
06 12 2018,1048.525024
07 12 2018,1053.800049
10 12 2018,1044.375
11 12 2018,1029.775024
12 12 2018,1042.650024
13 12 2018,1050.650024
14 12 2018,1047.849976
17 12 2018,1065.099976
18 12 2018,1067.724976
19 12 2018,1061.724976
20 12 2018,1068.724976
21 12 2018,1055.574951
24 12 2018,1040.324951
26 12 2018,1061.175049
27 12 2018,1052.525024
28 12 2018,1061.449951
31 12 2018,1060.849976
01 01 2019,1074.050049
02 01 2019,1064.25
03 01 2019,1055.900024
04 01 2019,1058.724976
07 01 2019,1060.324951
08 01 2019,1051.5
09 01 2019,1058.400024
10 01 2019,1054.25
11 01 2019,1055.949951
14 01 2019,1050.824951
15 01 2019,1060.949951
16 01 2019,1060.099976
17 01 2019,1066.150024
18 01 2019,1065.125
21 01 2019,1074.074951
22 01 2019,1067.925049
23 01 2019,1052.699951
24 01 2019,1051.125
25 01 2019,1048
28 01 2019,1042.074951
29 01 2019,1028.800049
30 01 2019,1017.349976
31 01 2019,1039.974976
01 02 2019,1045.224976
04 02 2019,1052.449951
05 02 2019,1057.025024
06 02 2019,1061.324951
07 02 2019,1058.625
08 02 2019,1061.324951
11 02 2019,1069.824951
12 02 2019,1064.849976
14 02 2019,1055.099976
15 02 2019,1050.324951
18 02 2019,1044.949951
19 02 2019,1042.025024
20 02 2019,1054.175049
21 02 2019,1057.949951
22 02 2019,1045.724976
25 02 2019,1062.699951
26 02 2019,1055.324951
27 02 2019,1046.125
28 02 2019,1038.775024
01 03 2019,1041.675049
05 03 2019,1053.550049
06 03 2019,1052.125
07 03 2019,1063.25
08 03 2019,1064.099976
11 03 2019,1064.224976
12 03 2019,1085.5
13 03 2019,1113.275024
14 03 2019,1112.375
15 03 2019,1126.5
18 03 2019,1130.724976
19 03 2019,1133.875
20 03 2019,1149.5
22 03 2019,1138.074951
25 03 2019,1140.650024
26 03 2019,1155.675049
27 03 2019,1149.724976
28 03 2019,1151.400024
01 04 2019,1155.900024
02 04 2019,1147.425049
03 04 2019,1146.375
04 04 2019,1141.974976
